"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"State gov","Assoc acdm","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"State gov","12th","Never married","Transportation","Own child","Black"," Male","<= 50K USD"
"Private","Bachelors","Never married","Other service","Not in family","Asian"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Masters","Never married","Sales","Not in family","White"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Own child","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Local gov","Assoc voc","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Local gov","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"State gov","Masters","Never married","Prof specialty","Not in family","Asian"," Male","<= 50K USD"
"Private","12th","Never married","Farming and fishing","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Married spouse absent","Craft and Repair","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Not in family","White"," Female","<= 50K USD"
"State gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Local gov","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","5th to 6th","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Unmarried","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Transportation","Husband","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","Black"," Female","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Executive","Own child","White"," Female","> 50K USD"
"Private","Some college","Divorced","Tech support","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"State gov","Prof school","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Masters","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","9th","Widowed","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Local gov","HS grad","Divorced","Admin","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Self emp inc","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Local gov","7th to 8th","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","9th","Never married","Farming and fishing","Other","Black"," Male","<= 50K USD"
"State gov","HS grad","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Local gov","HS grad","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Not in family","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","Black"," Female","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Male","> 50K USD"
"State gov","Some college","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Federal gov","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","Black"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Private","11th","Never married","Private house service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Private","10th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Farming and fishing","Unmarried","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","9th","Widowed","Mechanic","Unmarried","White"," Female","<= 50K USD"
"State gov","Bachelors","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Private","12th","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","HS grad","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"State gov","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","Native American"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Self emp inc","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Own child","White"," Female","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Own child","White"," Male","> 50K USD"
"Private","HS grad","Never married","Mechanic","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Separated","Other service","Not in family","Black"," Male","<= 50K USD"
"Private","12th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Executive","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","> 50K USD"
"Local gov","HS grad","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Transportation","Unmarried","Black"," Female","<= 50K USD"
"Self emp inc","Some college","Separated","Executive","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Some college","Married to civilian","Admin","Husband","Black"," Male","> 50K USD"
"Private","Assoc voc","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","11th","Never married","Mechanic","Unmarried","Black"," Female","<= 50K USD"
"Private","5th to 6th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
